country_name,gdp,pop,inc,exp,waste
South Africa,4.21209E+11,56015473,5470,4.11765E+11,18457232
Argentina,4.47518E+11,43847430,12220,0,17910550
Nigeria,4.56775E+11,185989640,2470,6.76448E+11,27614830.07
Norway,4.72766E+11,5234519,81620,1.30068E+11,2187000
Belgium,5.15103E+11,11331422,42530,2.50739E+11,4708000
"Iran, Islamic Rep.",5.40581E+11,80277428,5520,5.46423E+11,17885000
Sweden,5.60387E+11,9923085,54030,2.0659E+11,4377000
Poland,5.72132E+11,37970087,12710,5.82145E+11,10863000
Switzerland,6.4209E+11,8373338,82130,2.51329E+11,6056000
Saudi Arabia,6.90E+11,32275687,21610,5.50267E+11,16125700.58
Netherlands,8.90136E+11,17030314,46900,3.5652E+11,8855000
Indonesia,1.03786E+12,261115456,3400,1.43843E+12,65200000
Turkey,1.12251E+12,79512426,11180,1.00661E+12,31283000
Mexico,1.25904E+12,127540423,9410,1.36231E+12,53100000
"Korea, Rep.",1.30595E+12,51245707,27690,8.31018E+11,18218975
Australia,1.3493E+12,24190907,54190,6.22001E+11,13345000
Spain,1.46451E+12,46483569,27620,8.81644E+11,20151000
Russian Federation,1.65443E+12,144342396,9750,1.75507E+12,60000000
Canada,1.828E+12,36264604,43940,8.88564E+11,25103034
Italy,2.08064E+12,60627498,31810,1.27946E+12,29524000
Brazil,2.25691E+12,207652865,8930,1.83512E+12,79889010
India,2.46618E+12,1324171354,1690,4.53389E+12,168403240
United Kingdom,2.75762E+12,65595565,42420,1.61942E+12,31567000
France,2.80604E+12,66859768,38900,1.40867E+12,33399000
Germany,3.7817E+12,82348669,44360,2.03796E+12,51046000
Japan,6.05267E+12,126994511,37880,2.73365E+12,43981000
China,9.50516E+12,1378665000,8210,7.62796E+12,210000000
United States,1.69203E+13,323071342,57170,1.27669E+13,258000000
Aruba,,104822,23550,1744645190,88132.0167
Bermuda,,65341,0,0,82000
British Virgin Islands,,30661,0,0,21099.19
Cayman Islands,,60765,0,0,60000
Channel Islands,,164541,0,0,178933
Cuba,,11475982,0,0,2692691.98
Curacao,,159664,19070,0,24703.8132
Djibouti,,942333,1990,1665294116,114997.249
Eritrea,,0,0,0,726957.37
Faeroe Islands,,0,0,0,61000
French Polynesia,,280208,0,0,147000
Gibraltar,,34408,0,0,16954
Isle of Man,,83737,80340,0,50551
Liechtenstein,,37666,0,0,32382
Monaco,,38499,0,0,46000
New Caledonia,,276550,0,0,108157.384
Sint Maarten (Dutch part),,39969,0,0,0
Somalia,,14317996,0,0,2326099.17
South Sudan,,12230730,460,5904556526,2680681
St. Martin (French part),,31949,0,0,15479.5
Syrian Arab Republic,,18430453,0,0,4500000
Turks and Caicos Islands,,34900,25040,0,0
"Venezuela, RB",,31568179,0,0,9779093.14
Virgin Islands (U.S.),,107510,0,0,146500
